"ligand","receptor"
"Angptl4","Sdc3"
"Angptl4","Sdc4"
"Angptl4","Tie1"
"Angptl6","Tek"
"Angptl7","Pira1"
"Angptl7","Pira2"
"Angptl7","Lilra6"
"Angptl7","Pira6"
"Angptl7","Pirb"
"Angptl7","Gm14548"
"Angptl7","Gm15448"
"Angptl7","Pira12"
"Angptl7","Lilra5"
"Angptl7","Pira13"
"Anpep","Sele"
"Antxr1","Treml2"
"Anxa1","Dysf"
"Anxa1","Egfr"
"Anxa1","Fpr1"
"Anxa1","Fpr2"
"Anxa1","Fpr3"
"Anxa2","Dysf"
"Anxa2","Egfr"
"Anxa2","Plat"
"Anxa2","Robo4"
"Anxa2","Tlr2"
"Apln","Aplnr"
"Apln","Grm7"
"Apoa1","Abca1"
"Apoa1","Ldlr"
"Apoa1","Lrp1"
"Apoa1","Lrp2"
"Apoa2","Ldlr"
"Apoa2","Lrp1"
"Apoa2","Lrp2"
"Apoa4","Ldlr"
"Apoa4","Lrp1"
"Apoa4","Lrp2"
"Apoa5","Lpl"
"Apob","Adrb2"
"Apob","Calcr"
"Apob","Itgam"
"Apob","Gm49368"
"Apob","Itgb2"
"Apob","Itgb2l"
"Apob","Ldlr"
"Apob","Lrp1"
"Apob","Lrp2"
"Apob","Lrp8"
"Apob","Lsr"
"Apob","Olr1"
"Apob","Tlr4"
"Apob","Tlr6"
"Apob","Trem2"
"Apob","Vldlr"
"Apoc1","Vldlr"
"Apoc2","Ldlr"
"Apoc2","Lpl"
"Apoc2","Lrp1"
"Apoc2","Lrp2"
"Apoc3","Ldlr"
"Apoc3","Lrp1"
"Apoc3","Lrp2"
"Apoc3","Sdc2"
"Apoc3","Tlr2"
"Apoc4","Vldlr"
"Apod","Lepr"
"Apoe","App"
"Apoe","Ldlr"
"Apoe","Lrp1"
"Apoe","Lrp2"
"Apoe","Lrp5"
"Apoe","Lrp8"
"Apoe","Scarb1"
"Apoe","Sorl1"
"Apoe","Trem2"
"Apoe","Vldlr"
"Apoo","Il1rapl1"
"Apoo","Il1rapl2"
"App","Bace1"
"App","Cd74"
"App","Flt1"
"App","Fpr2"
"App","Fpr3"
"App","Gpc1"
"App","Lrp1"
"App","Ncstn"
"App","Ngfr"
"App","Sorl1"
"App","Tnfrsf21"
"Areg","Egfr"
"Areg","Erbb2"
"Areg","Erbb3"
"Areg","Mmp9"
"Arf1","Pld2"
"Armh4","Tnfrsf11b"
"Artn","Gfra1"
"Artn","Gfra2"
"Artn","Gfra3"
"Artn","Ncam1"
"Artn","Ret"
"Atp1b1","Negr1"
"AU040320","Ildr1"
"AU040320","Mpzl3"
"AU040320","Siglecf"
"AU040320","Siglece"
"AU040320","Unc5a"
"Avp","Aqp2"
"Avp","Avpr1a"
"Avp","Avpr1b"
"Avp","Avpr2"
"Avp","Oxtr"
"Azgp1","Itgav"
"B2m","Klrc1"
"B2m","Klrc3"
"B2m","Klrc2"
"B2m","Klrd1"
"B2m","Tap1"
"B2m","Tap2"
"Bace1","App"
"Bace1","Selplg"
"Bace2","App"
"BC053393","Cd300lb"
"BC053393","Igsf21"
"BC053393","Siglec1"
"BC053393","Timd4"
"Bcan","Egfr"
"Bcan","Nrcam"
"Bdnf","Drd4"
"Bdnf","Erbb2"
"Bdnf","Ngfr"
"Bdnf","Ntrk2"
"Bdnf","Sort1"
"Bgn","Fgfr3"
"Bgn","Tlr1"
"Bgn","Tlr2"
"Bgn","Tlr4"
"Bmp1","Bmpr1a"
"Bmp1","Bmpr1b"
"Bmp1","Bmpr2"
"Bmp10","Acvr1"
"Bmp10","Acvr2a"
"Bmp10","Acvr2b"
"Bmp10","Acvrl1"
"Bmp10","Bmpr1a"
"Bmp10","Bmpr1b"
"Bmp10","Bmpr2"
"Bmp10","Eng"
"Bmp15","Acvr1"
"Bmp15","Acvr2a"
"Bmp15","Acvr2b"
"Bmp15","Bmpr1a"
"Bmp15","Bmpr1b"
"Bmp15","Bmpr2"
"Bmp15","Tgfbr1"
"Bmp2","Acvr1"
"Bmp2","Acvr2a"
"Bmp2","Acvr2b"
"Bmp2","Bmpr1a"
"Bmp2","Bmpr1b"
"Bmp2","Bmpr2"
"Bmp2","Eng"
"Bmp2","Hjv"
"Bmp3","Acvr1"
"Bmp3","Acvr1b"
"Bmp3","Acvr2a"
"Bmp3","Acvr2b"
"Bmp3","Bmpr1a"
"Bmp3","Bmpr1b"
"Bmp3","Bmpr2"
"Bmp4","Acvr1"
"Bmp4","Acvr2a"
"Bmp4","Acvr2b"
"Bmp4","Bmpr1a"
"Bmp4","Bmpr1b"
"Bmp4","Bmpr2"
"Bmp4","Grem2"
"Bmp5","Acvr1"
"Bmp5","Acvr2a"
"Bmp5","Acvr2b"
"Bmp5","Bmpr1a"
"Bmp5","Bmpr1b"
"Bmp5","Bmpr2"
"Bmp5","Hjv"
"Bmp5","Ptprd"
"Bmp6","Acvr1"
"Bmp6","Acvr2a"
"Bmp6","Acvr2b"
"Bmp6","Amhr2"
"Bmp6","Bmpr1a"
"Bmp6","Bmpr1b"
"Bmp6","Bmpr2"
"Bmp6","Hjv"
"Bmp7","Acvr1"
"Bmp7","Acvr2a"
"Bmp7","Acvr2b"
"Bmp7","Bmpr1a"
"Bmp7","Bmpr1b"
"Bmp7","Bmpr2"
"Bmp7","Eng"
"Bmp8a","Acvr1"
"Bmp8a","Acvr2a"
"Bmp8a","Acvr2b"
"Bmp8a","Bmpr1a"
"Bmp8a","Bmpr1b"
"Bmp8a","Bmpr2"
"Bmp8a","Tgfbr1"
"Bmp8a","Tgfbr2"
"Boc","Lilra6"
"Boc","Ptch1"
"Boc","Ptch2"
"Boc","Smo"
"Bpi","Slamf9"
"Bst2","Pira1"
"Bst2","Pira12"
"Bst2","Lilra5"
"Bst2","Lilra6"
"Bst2","Pira2"
"Bst2","Pirb"
"Bst2","Pira13"
"Btc","Egfr"
"Btc","Erbb2"
"Btc","Erbb3"
"Btc","Erbb4"
"Btla","Cd247"
"Btla","Cd276"
"Btla","Cd79a"
"Btla","Tnfrsf14"
"Btla","Vtcn1"
"Btn1a1","Jaml"
"Btn1a1","Negr1"
"Btn1a1","Tarm1"
"Btnl9","Il6ra"
"Btnl9","Lrfn5"
"C1qa","Cd33"
"C1qa","Cd93"
"C1qa","Cr1l"
"C1qa","Cspg4"
"C1qb","Cd33"
"C1qb","Lrp1"
"C1qtnf1","Avpr2"
"C1qtnf5","Mfrp"
"C3","C3ar1"
"C3","C5ar2"
"C3","Cd19"
"C3","Cd46"
"C3","Cr1l"
"C3","Cr2"
"C3","Itgam"
"C3","Gm49368"
"C3","Itgax"
"C3","Itgb2"
"C3","Itgb2l"
"C3","Lrp1"
"C3","Vsig4"
"C4b","C3ar1"
"C4b","C5ar2"
"C4b","Cd46"
"C4b","Cr1l"
"C4b","Cr2"
"C4b","Nrp1"
"C4bp","Bmpr2"
"C4bp","Cd40"
"C4bp","Lrp1"
"Cadm1","Cadm1"
"Cadm1","Cadm3"
"Cadm1","Erbb3"
"Cadm1","Nectin3"
"Cadm2","Cadm1"
"Cadm2","Cadm3"
"Cadm2","Cadm4"
"Cadm3","Cadm1"
"Cadm3","Cadm2"
"Cadm3","Cadm3"
"Cadm3","Cadm4"
"Cadm3","Cfap54"
"Cadm3","Il2rg"
"Cadm3","Lrch4"
"Cadm3","Gm20605"
"Cadm3","Nectin1"
"Cadm3","Nectin3"
"Cadm3","Pear1"
"Cadm3","Prlr"
"Cadm4","Cadm2"
"Cadm4","Cadm3"
"Cadm4","Erbb3"
"Cadm4","Mag"
"Cadm4","Sdk2"
"Calca","Calcr"
"Calca","Calcrl"
"Calca","Ramp1"
"Calca","Ramp2"
"Calca","Ramp3"
"Calcb","Calcr"
"Calcb","Calcrl"
"Calcb","Ramp1"
"Calcb","Ramp2"
"Calcb","Ramp3"
"Calm1","Cnga2"
"Calm1","Kcnh1"
"Calm1","Mylk"
"Calm1","Mylk2"
"Calm1","Pde1a"
"Calm1","Pde1b"
"Calm1","Pde1c"
"Calm2","Cnga2"
"Calm2","Kcnh1"
"Calm2","Mylk"
"Calm2","Mylk2"
"Calm2","Pde1a"
"Calm2","Pde1b"
"Calm2","Pde1c"
"Calm3","Cnga2"
"Calm3","Kcnh1"
"Calm3","Mylk"
"Calm3","Mylk2"
"Calm3","Pde1a"
"Calm3","Pde1b"
"Calm3","Pde1c"
"Calr","Itga2b"
"Calr","Itga3"
"Calr","Itgav"
"Calr","Lrp1"
"Calr","Mpl"
"Calr","Mtnr1a"
"Calr","Scarf1"
"Calr","Tap1"
"Calr","Tap2"
"Calr","Tshr"
"Camp","Egfr"
"Camp","Fpr2"
"Camp","Fpr3"
"Camp","Igf1r"
"Camp","P2rx7"
"Car12","Siglech"
"Car12","Siglecf"
"Car12","Cd33"
"Cck","Cckar"
"Cck","Cckbr"
"Ccl1","Ackr1"
"Ccl1","Ackr2"
"Ccl1","Ccr1"
"Ccl1","Ccr1l1"
"Ccl1","Ccr2"
"Ccl1","Ccr3"
"Ccl1","Ccr5"
"Ccl1","Ccr8"
"Ccl11","Ackr1"
"Ccl11","Ackr2"
"Ccl11","Ackr4"
"Ccl11","Ccr2"
"Ccl11","Ccr3"
"Ccl11","Ccr5"
"Ccl11","Cxcr3"
"Ccl11","Dpp4"
"Ccl12","Ackr1"
"Ccl12","Ackr2"
"Ccl12","Ackr4"
"Ccl12","Ccr1"
"Ccl12","Ccr1l1"
"Ccl12","Ccr10"
"Ccl12","Ccr2"
"Ccl12","Ccr3"
"Ccl12","Ccr4"
"Ccl12","Ccr4"
"Ccl12","Ccr5"
"Ccl12","Ccr8"
"Ccl17","Ackr1"
"Ccl17","Ackr2"
"Ccl17","Ccr4"
"Ccl17","Ccr8"
"Ccl19","Ackr2"
"Ccl19","Ackr4"
"Ccl19","Ccr10"
"Ccl19","Ccr7"
"Ccl19","Ccrl2"
"Ccl19","Cxcr3"
"Ccl19-ps1","Ackr2"
"Ccl19-ps1","Ackr4"
"Ccl19-ps1","Ccr10"
"Ccl19-ps1","Ccr7"
"Ccl19-ps1","Ccrl2"
"Ccl19-ps1","Cxcr3"
"Ccl2","Ackr1"
"Ccl2","Ackr2"
"Ccl2","Ackr4"
"Ccl2","Ccr1"
"Ccl2","Ccr1l1"
"Ccl2","Ccr2"
"Ccl2","Ccr3"
"Ccl2","Ccr5"
"Ccl2","Cxcr3"
"Ccl20","Ackr4"
"Ccl20","Ccr6"
"Ccl20","Cxcr3"
"Ccl21a","Ackr2"
"Ccl21a","Ackr4"
"Ccl21a","Ccr7"
"Ccl21a","Cxcr3"
"Ccl21b","Ackr2"
"Ccl21b","Ackr4"
"Ccl21b","Ccr7"
"Ccl21b","Cxcr3"
"Ccl21d","Ackr2"
"Ccl21d","Ackr4"
"Ccl21d","Ccr7"
"Ccl21d","Cxcr3"
"Ccl22","Ackr1"
"Ccl22","Ackr2"
"Ccl22","Ccr4"
"Ccl22","Ccr7"
"Ccl22","Dpp4"
"Ccl24","Ackr2"
"Ccl24","Ccr2"
"Ccl24","Ccr3"
"Ccl25","Ackr2"
"Ccl25","Ackr4"
"Ccl25","Ccr10"
"Ccl25","Ccr9"
"Ccl26","Ccr3"
"Ccl26","Ccr2"
"Ccl27a","Ackr2"
"Ccl27a","Adra2a"
"Ccl27a","Ccr10"
"Ccl27a","Grm7"
"Ccl27a","Mtnr1a"
"Ccl27b","Ackr2"
"Ccl27b","Adra2a"
"Ccl27b","Ccr10"
"Ccl27b","Grm7"
"Ccl27b","Mtnr1a"
"Ccl28","Ackr2"
"Ccl28","Ackr4"
"Ccl28","Adra2a"
"Ccl28","Ccr10"
"Ccl28","Ccr3"
"Ccl28","Grm7"
"Ccl28","Mtnr1a"
"Ccl3","Ackr1"
"Ccl3","Ackr2"
"Ccl3","Ccr1"
"Ccl3","Ccr1"
"Ccl3","Ccr1l1"
"Ccl3","Ccr1l1"
"Ccl3","Ccr3"
"Ccl3","Ccr4"
"Ccl3","Ccr5"
"Ccl3","Ccr5"
"Ccl3","Ccr8"
"Ccl4","Ackr2"
"Ccl4","Ackr2"
"Ccl4","Ccr1"
"Ccl4","Ccr1"
"Ccl4","Ccr1l1"
"Ccl4","Ccr1l1"
"Ccl4","Ccr3"
"Ccl4","Ccr5"
"Ccl4","Ccr5"
"Ccl4","Ccr8"
"Ccl4","Ccr8"
"Ccl5","Ackr1"
"Ccl5","Ackr2"
"Ccl5","Ccr1"
"Ccl5","Ccr1l1"
"Ccl5","Ccr3"
"Ccl5","Ccr4"
"Ccl5","Ccr5"
"Ccl5","Cxcr3"
"Ccl5","Gpr75"
"Ccl5","Sdc1"
"Ccl5","Sdc4"
"Ccl6","Ackr2"
"Ccl6","Ccr1"
"Ccl6","Ccr1l1"
"Ccl6","Ccr3"
"Ccl6","Fpr2"
"Ccl6","Fpr3"
"Ccl7","Ackr1"
"Ccl7","Ackr2"
"Ccl7","Ackr4"
"Ccl7","Ccr1"
"Ccl7","Ccr1l1"
"Ccl7","Ccr10"
"Ccl7","Ccr2"
"Ccl7","Ccr3"
"Ccl7","Ccr5"
"Ccl7","Cxcr3"
"Ccl8","Ackr1"
"Ccl8","Ackr2"
"Ccl8","Ccr1"
"Ccl8","Ccr1l1"
"Ccl8","Ccr2"
"Ccl8","Ccr3"
"Ccl8","Ccr5"
"Ccl8","Ccr8"
"Ccl9","Ackr2"
"Ccl9","Ccr1"
"Ccl9","Ccr1l1"
"Ccl9","Ccr3"
"Ccl9","Fpr2"
"Ccl9","Fpr3"
"Ccn1","Itga2b"
"Ccn1","Itga5"
"Ccn1","Itga6"
"Ccn1","Itgad"
"Ccn1","Itgam"
"Ccn1","Gm49368"
"Ccn1","Itgav"
"Ccn1","Itgb1"
"Ccn1","Itgb2"
"Ccn1","Itgb2l"
"Ccn1","Itgb3"
"Ccn1","Itgb5"
"Ccn1","Sdc4"
"Ccn1","Tlr2"
"Ccn1","Tlr4"
"Ccn2","Erbb4"
"Ccn2","Fgfr2"
"Ccn2","Igf2r"
"Ccn2","Itga5"
"Ccn2","Itgam"
"Ccn2","Gm49368"
"Ccn2","Itgb2"
"Ccn2","Itgb2l"
"Ccn2","Lrp1"
"Ccn2","Lrp6"
"Ccn2","Ntrk1"
"Ccn3","Notch1"
"Ccn3","Plxna1"
"Ccn4","Itga5"
"Ccn4","Itgb1"
"Ccn6","Sorl1"
"Cd14","Plxnd1"
"Cd160","Tnfrsf14"
"Cd2","Cd53"
"Cd2","Nlgn3"
"Cd200","Cd200r1"
"Cd200","Cd200r4"
"Cd200","Cd200r2"
"Cd200","Cd200r3"
"Cd209a","Ceacam1"
"Cd209a","Ceacam2"
"Cd209b","Ceacam1"
"Cd209b","Ceacam2"
"Cd209c","Ceacam1"
"Cd209c","Ceacam2"
"Cd209d","Ceacam1"
"Cd209d","Ceacam2"
"Cd209e","Ceacam1"
"Cd209e","Ceacam2"
"Cd22","Igsf21"
"Cd22","Ptprc"
"Cd226","Mcam"
"Cd226","Nectin2"
"Cd226","Pvr"
"Cd244a","Cd79b"
"Cd244a","Csf3r"
"Cd244a","Iyd"
"Cd244a","Lat"
"Cd244a","Muc15"
"Cd24a","Selp"
"Cd274","Cd80"
"Cd274","Epha3"
"Cd274","Pdcd1"
"Cd28","Cd247"
"Cd28","Cd4"
"Cd28","Cd80"
"Cd28","Cd86"
"Cd28","Tmem95"
"Cd300a","Igsf5"
"Cd300c","Igsf5"
"Cd300c","Ntng1"
"Cd300c","Ptpro"
"Cd300c2","Igsf5"
"Cd300c2","Ntng1"
"Cd300c2","Ptpro"
"Cd300ld2","Flt1"
"Cd300ld2","Igsf5"
"Cd300ld3","Flt1"
"Cd300ld3","Igsf5"
"Cd300ld4","Flt1"
"Cd300ld4","Igsf5"
"Cd300ld5","Flt1"
"Cd300ld5","Igsf5"
"Cd300lf","Flt1"
"Cd300lf","Igsf5"
"Cd320","Igsf5"
"Cd320","Jaml"
"Cd320","Lrpap1"
"Cd320","Ror2"
"Cd320","Siglece"
"Cd320","Tmem167"
"Cd33","Cd4"
"Cd33","Kir3dl2"
"Cd33","Kir3dl1"
"Cd33","Ncr1"
"Cd34","Nectin3"
"Cd34","Nectin4"
"Cd34","Sele"
"Cd34","Sell"
"Cd34","Selp"
"Cd38","Pecam1"
"Cd40","Cd40lg"
"Cd40lg","Cd40"
"Cd40lg","Itga2b"
"Cd40lg","Itga5"
"Cd40lg","Itgam"
"Cd40lg","Gm49368"
"Cd40lg","Itgb1"
"Cd40lg","Itgb2"
"Cd40lg","Itgb2l"
"Cd40lg","Itgb3"
"Cd44","Acvr2b"
"Cd44","Cldn7"
"Cd44","Epcam"
"Cd44","Has2"
"Cd44","Sele"
"Cd47","Pcsk4"
"Cd47","Scn1b"
"Cd47","Siglec1"
"Cd47","Sirpa"
"Cd47","Gm9733"
"Cd47","Sirpb1a"
"Cd47","Sirpb1c"
"Cd47","Gm5150"
"Cd47","Sirpb1b"
"Cd48","Cd2"
"Cd48","Cd244a"
"Cd48","Pdcd1"
"Cd52","Siglecg"
"Cd55","Adgre5"
"Cd55","Cr1l"
"Cd55b","Adgre5"
"Cd55b","Cr1l"
"Cd59a","Cd2"
"Cd59a","Siglec1"
"Cd59a","Stab1"
"Cd59b","Cd2"
"Cd59b","Siglec1"
"Cd59b","Stab1"
"Cd5l","Cd5"
"Cd6","Alcam"
"Cd6","Dag1"
"Cd6","Siglecf"
"Cd6","Siglece"
"Cd7","Adam15"
"Cd70","Cd27"
"Cd72","Cd5"
"Cd72","Ncam2"
"Cd72","Sema4d"
"Cd79b","Cd244a"
"Cd79b","Igsf21"
"Cd79b","Kremen1"
"Cd79b","Ntm"
"Cd80","Cd274"
"Cd80","Cd28"
"Cd80","Ctla4"
"Cd80","Ngfr"
"Cd82","Cd37"
"Cd82","Itgb2"
"Cd82","Itgb2l"
"Cd86","Cd28"
"Cd86","Ctla4"
"Cd9","Adam2"
"Cd9","Cd36"
"Cd9","Cldn1"
"Cd9","Igsf8"
"Cd9","Kit"
"Cd96","Nectin1"
"Cd96","Nectin2"
"Cd96","Pvr"
"Cd99","Cd99"
"Cdcp1","Egfr"
"Cdh1","Cdh1"
"Cdh1","Egfr"
"Cdh1","Igf1r"
"Cdh1","Itgae"
"Cdh1","Itgb7"
"Cdh1","Klrg1"
"Cdh1","Ptprf"
"Cdh1","Ptprm"
"Cdh13","Ncam2"
"Cdh15","Cdh15"
"Cdh15","Cdon"
"Cdh2","Cdh2"
"Cdh2","Cdon"
"Cdh3","Cdh3"
"Cdh4","Cdh4"
"Cdh5","Cdh5"
"Cdh6","Cntn1"
"Cdh6","Ptgfrn"
"Cdh9","Gm36028"
"Cdhr2","Cd3d"
"Cdhr2","Kirrel"
"Cdhr2","Unc5a"
"Ceacam1","Cd209e"
"Ceacam1","Cd209c"
"Ceacam1","Cd209b"
"Ceacam1","Cd209a"
"Ceacam1","Cd209d"
"Ceacam1","Egfr"
"Ceacam1","Havcr2"
"Ceacam1","Sele"
"Ceacam10","Lilra6"
"Ceacam11","Lilra6"
"Ceacam12","Lilra6"
"Ceacam13","Lilra6"
"Ceacam14","Lilra6"
"Ceacam15","Lilra6"
"Ceacam2","Cd209e"
"Ceacam2","Cd209c"
"Ceacam2","Cd209b"
"Ceacam2","Cd209a"
"Ceacam2","Cd209d"
"Ceacam2","Egfr"
"Ceacam2","Havcr2"
"Ceacam2","Sele"
"Ceacam20","Vsig8"
"Ceacam3","Lilra6"
"Ceacam5","Lilra6"
"Ceacam9","Lilra6"
"Cel","Cxcr4"
"Cer1","Mrc2"
"Cfap54","Cadm3"
"Cfc1","Acvr1b"
"Cfc1","Acvr2a"
"Cfd","Cfb"
"Cfh","Cfb"
"Cfh","Itgam"
"Cfh","Gm49368"
"Cfh","Sell"
"Cfp","Ncr1"
"Cga","Adcyap1r1"
"Cga","Adrb2"
"Cga","Adrb3"
"Cga","Fshr"
"Cga","Gpr20"
"Cga","Gpr84"
"Cga","Lhcgr"
"Cga","Pth1r"
"Cga","Ramp2"
"Cga","Ramp3"
"Cga","Tshr"
"Cga","Vipr1"
"Chad","Itga2"
"Chad","Itgb1"
"Chl1","Cntn1"
"Chl1","Cntn5"
"Chl1","Sirpa"
"Chl1","Tmem132a"
"Cib1","Itga2b"
"Cib1","Itgb3"
"Cklf","Ccr4"
"Cklf","Lrp6"
"Clcf1","Cntfr"
"Clcf1","Crlf1"
"Clcf1","Il6st"
"Clcf1","Lifr"
"Clcf1","Sorl1"
"Cldn1","Cldn2"
"Cldn1","Mmp2"
"Cldn11","Cldn11"
"Cldn14","Cldn16"
"Cldn16","Cldn19"
"Cldn19","Cldn6"
"Cldn19","Cldn7"
"Cldn19","Cldn8"
"Cldn19","Cldn9"
"Cldn2","Cldn3"
"Cldn24","Cldn24"
"Cldn3","Cldn1"
"Clec11a","Itga10"
"Clec11a","Itga11"
"Clec11a","Itgb1"
"Clec11a","Kit"
"Clec2d","Klrb1"
"Clec2d","Klrb1a"
"Clec2d","Klrb1c"
"Clec2d","Klrb1b"
"Clec2d","Klrb1f"
"Clec2e","Klrb1"
"Clec2e","Klrb1a"
"Clec2e","Klrb1c"
"Clec2e","Klrb1b"
"Clec2e","Klrb1f"
"Clec2f","Klrb1"
"Clec2f","Klrb1a"
"Clec2f","Klrb1c"
"Clec2f","Klrb1b"
"Clec2f","Klrb1f"
"Clec2g","Klrb1"
"Clec2g","Klrb1a"
"Clec2g","Klrb1c"
"Clec2g","Klrb1b"
