"pathway_name","ligand","receptor"
"BMP","BMP5","ACVR1_ACVR2A"
"BMP","BMP5","ACVR1_ACVR2B"
"BMP","BMP5","ACVR1_BMPR2"
"BMP","BMP5","BMPR1A_ACVR2A"
"BMP","BMP5","BMPR1A_ACVR2B"
"BMP","BMP5","BMPR1A_BMPR2"
"BMP","BMP5","BMPR1B_ACVR2A"
"BMP","BMP5","BMPR1B_ACVR2B"
"BMP","BMP5","BMPR1B_BMPR2"
"BMP","BMP6","ACVR1_ACVR2A"
"BMP","BMP6","ACVR1_ACVR2B"
"BMP","BMP6","ACVR1_BMPR2"
"BMP","BMP6","BMPR1A_ACVR2A"
"BMP","BMP6","BMPR1A_ACVR2B"
"BMP","BMP6","BMPR1A_BMPR2"
"BMP","BMP6","BMPR1B_ACVR2A"
"BMP","BMP6","BMPR1B_ACVR2B"
"BMP","BMP6","BMPR1B_BMPR2"
"BMP","BMP7","ACVR1_ACVR2A"
"BMP","BMP7","ACVR1_ACVR2B"
"BMP","BMP7","ACVR1_BMPR2"
"BMP","BMP7","BMPR1A_ACVR2A"
"BMP","BMP7","BMPR1A_ACVR2B"
"BMP","BMP7","BMPR1A_BMPR2"
"BMP","BMP7","BMPR1B_ACVR2A"
"BMP","BMP7","BMPR1B_ACVR2B"
"BMP","BMP7","BMPR1B_BMPR2"
"BMP","BMP8A","ACVR1_ACVR2A"
"BMP","BMP8A","ACVR1_ACVR2B"
"BMP","BMP8A","ACVR1_BMPR2"
"BMP","BMP8A","BMPR1A_ACVR2A"
"BMP","BMP8A","BMPR1A_ACVR2B"
"BMP","BMP8A","BMPR1A_BMPR2"
"BMP","BMP8A","BMPR1B_ACVR2A"
"BMP","BMP8A","BMPR1B_ACVR2B"
"BMP","BMP8A","BMPR1B_BMPR2"
"BMP","BMP8B","ACVR1_ACVR2A"
"BMP","BMP8B","ACVR1_ACVR2B"
"BMP","BMP8B","ACVR1_BMPR2"
"BMP","BMP8B","BMPR1A_ACVR2A"
"BMP","BMP8B","BMPR1A_ACVR2B"
"BMP","BMP8B","BMPR1A_BMPR2"
"BMP","BMP8B","BMPR1B_ACVR2A"
"BMP","BMP8B","BMPR1B_ACVR2B"
"BMP","BMP8B","BMPR1B_BMPR2"
"BMP10","BMP10","ACVRL1_BMPR2"
"BMP10","BMP10","ACVRL1_ACVR2A"
"BMP10","GDF2","ACVRL1_BMPR2"
"BMP10","GDF2","ACVRL1_ACVR2A"
"GDF","GDF9","ACVR1B_BMPR2"
"GDF","GDF10","ACVR1B_ACVR2A"
"GDF","GDF11","TGFBR1_ACVR2A"
"GDF","GDF11","TGFBR1_ACVR2B"
"GDF","GDF11","ACVR1B_ACVR2B"
"GDF","GDF15","TGFBR2"
"MSTN","MSTN","TGFBR1_ACVR2B"
"MSTN","MSTN","ACVR1B_ACVR2B"
"MSTN","MSTN","ACVR1B_ACVR2A"
"MSTN","MSTN","TGFBR1_ACVR2A"
"AMH","AMH","AMHR2_ACVR1"
"AMH","AMH","AMHR2_BMPR1A"
"GDNF","GDNF","GFRA1_RET"
"GDNF","NRTN","GFRA2_RET"
"GDNF","ARTN","GFRA3_RET"
"GDNF","PSPN","GFRA4_RET"
"GDNF","ARTN","GFRA1_RET"
"NODAL","NODAL","ACVR1B_ACVR2A_CFC1"
"NODAL","NODAL","ACVR1C_ACVR2A_CFC1"
"NODAL","NODAL","ACVR1B_ACVR2B_CFC1"
"NODAL","NODAL","ACVR1C_ACVR2B_CFC1"
"NODAL","GDF1","ACVR1B_ACVR2A_CFC1"
"NODAL","GDF1","ACVR1B_ACVR2B_CFC1"
"NODAL","GDF1","ACVR1C_ACVR2A_CFC1"
"NODAL","GDF1","ACVR1C_ACVR2B_CFC1"
"NODAL","GDF3","ACVR1B_ACVR2A_CFC1"
"NODAL","GDF3","ACVR1B_ACVR2B_CFC1"
"NODAL","GDF3","ACVR1C_ACVR2A_CFC1"
"NODAL","GDF3","ACVR1C_ACVR2B_CFC1"
"ACTIVIN","INHBA","ACVR1B_ACVR2A"
"ACTIVIN","INHBA","ACVR1B_ACVR2B"
"ACTIVIN","INHBB","ACVR1B_ACVR2A"
"ACTIVIN","INHBB","ACVR1B_ACVR2B"
"ACTIVIN","INHBB","ACVR1C_ACVR2A"
"ACTIVIN","INHBB","ACVR1C_ACVR2B"
"ACTIVIN","INHBC","ACVR1B_ACVR2A"
"ACTIVIN","INHBC","ACVR1B_ACVR2B"
"ACTIVIN","INHBC","ACVR1C_ACVR2A"
"ACTIVIN","INHBC","ACVR1C_ACVR2B"
"ACTIVIN","INHBE","ACVR1B_ACVR2A"
"ACTIVIN","INHBE","ACVR1B_ACVR2B"
"ACTIVIN","INHBE","ACVR1C_ACVR2A"
"ACTIVIN","INHBE","ACVR1C_ACVR2B"
"ACTIVIN","Activin AB","ACVR1B_ACVR2A"
"ACTIVIN","Activin AB","ACVR1B_ACVR2B"
"ACTIVIN","Activin AB","ACVR1C_ACVR2A"
"ACTIVIN","Activin AB","ACVR1C_ACVR2B"
"ACTIVIN","Inhibin A","ACVR2A"
"ACTIVIN","Inhibin B","ACVR2B"
"WNT","WNT1","FZD1_LRP5"
"WNT","WNT1","FZD10_LRP5"
"WNT","WNT1","FZD2_LRP5"
"WNT","WNT1","FZD3_LRP5"
"WNT","WNT1","FZD4_LRP5"
"WNT","WNT1","FZD5_LRP5"
"WNT","WNT1","FZD6_LRP5"
"WNT","WNT1","FZD7_LRP5"
"WNT","WNT1","FZD8_LRP5"
"WNT","WNT1","FZD9_LRP5"
"WNT","WNT10A","FZD1_LRP5"
"WNT","WNT10A","FZD10_LRP5"
"WNT","WNT10A","FZD2_LRP5"
"WNT","WNT10A","FZD3_LRP5"
"WNT","WNT10A","FZD4_LRP5"
"WNT","WNT10A","FZD5_LRP5"
"WNT","WNT10A","FZD6_LRP5"
"WNT","WNT10A","FZD7_LRP5"
"WNT","WNT10A","FZD8_LRP5"
"WNT","WNT10A","FZD9_LRP5"
"WNT","WNT10B","FZD1_LRP5"
"WNT","WNT10B","FZD10_LRP5"
"WNT","WNT10B","FZD2_LRP5"
"WNT","WNT10B","FZD3_LRP5"
"WNT","WNT10B","FZD4_LRP5"
"WNT","WNT10B","FZD5_LRP5"
"WNT","WNT10B","FZD6_LRP5"
"WNT","WNT10B","FZD7_LRP5"
"WNT","WNT10B","FZD8_LRP5"
"WNT","WNT10B","FZD9_LRP5"
"WNT","WNT16","FZD1_LRP5"
"WNT","WNT16","FZD10_LRP5"
"WNT","WNT16","FZD2_LRP5"
"WNT","WNT16","FZD3_LRP5"
"WNT","WNT16","FZD4_LRP5"
"WNT","WNT16","FZD5_LRP5"
"WNT","WNT16","FZD6_LRP5"
"WNT","WNT16","FZD7_LRP5"
"WNT","WNT16","FZD8_LRP5"
"WNT","WNT16","FZD9_LRP5"
"WNT","WNT2","FZD1_LRP5"
"WNT","WNT2","FZD10_LRP5"
"WNT","WNT2","FZD2_LRP5"
"WNT","WNT2","FZD3_LRP5"
"WNT","WNT2","FZD4_LRP5"
"WNT","WNT2","FZD5_LRP5"
"WNT","WNT2","FZD6_LRP5"
"WNT","WNT2","FZD7_LRP5"
"WNT","WNT2","FZD8_LRP5"
"WNT","WNT2","FZD9_LRP5"
"WNT","WNT2B","FZD1_LRP5"
"WNT","WNT2B","FZD10_LRP5"
"WNT","WNT2B","FZD2_LRP5"
"WNT","WNT2B","FZD3_LRP5"
"WNT","WNT2B","FZD4_LRP5"
"WNT","WNT2B","FZD5_LRP5"
"WNT","WNT2B","FZD6_LRP5"
"WNT","WNT2B","FZD7_LRP5"
"WNT","WNT2B","FZD8_LRP5"
"WNT","WNT2B","FZD9_LRP5"
"WNT","WNT3","FZD1_LRP5"
"WNT","WNT3","FZD10_LRP5"
"WNT","WNT3","FZD2_LRP5"
"WNT","WNT3","FZD3_LRP5"
"WNT","WNT3","FZD4_LRP5"
"WNT","WNT3","FZD5_LRP5"
"WNT","WNT3","FZD6_LRP5"
"WNT","WNT3","FZD7_LRP5"
"WNT","WNT3","FZD8_LRP5"
"WNT","WNT3","FZD9_LRP5"
"WNT","WNT3A","FZD1_LRP5"
"WNT","WNT3A","FZD10_LRP5"
"WNT","WNT3A","FZD2_LRP5"
"WNT","WNT3A","FZD3_LRP5"
"WNT","WNT3A","FZD4_LRP5"
"WNT","WNT3A","FZD5_LRP5"
"WNT","WNT3A","FZD6_LRP5"
"WNT","WNT3A","FZD7_LRP5"
"WNT","WNT3A","FZD8_LRP5"
"WNT","WNT3A","FZD9_LRP5"
"WNT","WNT4","FZD1_LRP5"
"WNT","WNT4","FZD10_LRP5"
"WNT","WNT4","FZD2_LRP5"
"WNT","WNT4","FZD3_LRP5"
"WNT","WNT4","FZD4_LRP5"
"WNT","WNT4","FZD5_LRP5"
"WNT","WNT4","FZD6_LRP5"
"WNT","WNT4","FZD7_LRP5"
"WNT","WNT4","FZD8_LRP5"
"WNT","WNT4","FZD9_LRP5"
"WNT","WNT6","FZD1_LRP5"
"WNT","WNT6","FZD10_LRP5"
"WNT","WNT6","FZD2_LRP5"
"WNT","WNT6","FZD3_LRP5"
"WNT","WNT6","FZD4_LRP5"
"WNT","WNT6","FZD5_LRP5"
"WNT","WNT6","FZD6_LRP5"
"WNT","WNT6","FZD7_LRP5"
"WNT","WNT6","FZD8_LRP5"
"WNT","WNT6","FZD9_LRP5"
"WNT","WNT7A","FZD1_LRP5"
"WNT","WNT7A","FZD10_LRP5"
"WNT","WNT7A","FZD2_LRP5"
"WNT","WNT7A","FZD3_LRP5"
"WNT","WNT7A","FZD4_LRP5"
"WNT","WNT7A","FZD5_LRP5"
"WNT","WNT7A","FZD6_LRP5"
"WNT","WNT7A","FZD7_LRP5"
"WNT","WNT7A","FZD8_LRP5"
"WNT","WNT7A","FZD9_LRP5"
"WNT","WNT7B","FZD1_LRP5"
"WNT","WNT7B","FZD10_LRP5"
"WNT","WNT7B","FZD2_LRP5"
"WNT","WNT7B","FZD3_LRP5"
"WNT","WNT7B","FZD4_LRP5"
"WNT","WNT7B","FZD5_LRP5"
"WNT","WNT7B","FZD6_LRP5"
"WNT","WNT7B","FZD7_LRP5"
"WNT","WNT7B","FZD8_LRP5"
"WNT","WNT7B","FZD9_LRP5"
"WNT","WNT8A","FZD1_LRP5"
"WNT","WNT8A","FZD10_LRP5"
"WNT","WNT8A","FZD2_LRP5"
"WNT","WNT8A","FZD3_LRP5"
"WNT","WNT8A","FZD4_LRP5"
"WNT","WNT8A","FZD5_LRP5"
"WNT","WNT8A","FZD6_LRP5"
"WNT","WNT8A","FZD7_LRP5"
"WNT","WNT8A","FZD8_LRP5"
"WNT","WNT8A","FZD9_LRP5"
"WNT","WNT8B","FZD1_LRP5"
"WNT","WNT8B","FZD10_LRP5"
"WNT","WNT8B","FZD2_LRP5"
"WNT","WNT8B","FZD3_LRP5"
"WNT","WNT8B","FZD4_LRP5"
"WNT","WNT8B","FZD5_LRP5"
"WNT","WNT8B","FZD6_LRP5"
"WNT","WNT8B","FZD7_LRP5"
"WNT","WNT8B","FZD8_LRP5"
"WNT","WNT8B","FZD9_LRP5"
"WNT","WNT9A","FZD1_LRP5"
"WNT","WNT9A","FZD10_LRP5"
"WNT","WNT9A","FZD2_LRP5"
"WNT","WNT9A","FZD3_LRP5"
"WNT","WNT9A","FZD4_LRP5"
"WNT","WNT9A","FZD5_LRP5"
"WNT","WNT9A","FZD6_LRP5"
"WNT","WNT9A","FZD7_LRP5"
"WNT","WNT9A","FZD8_LRP5"
"WNT","WNT9A","FZD9_LRP5"
"WNT","WNT9B","FZD1_LRP5"
"WNT","WNT9B","FZD10_LRP5"
"WNT","WNT9B","FZD2_LRP5"
"WNT","WNT9B","FZD3_LRP5"
"WNT","WNT9B","FZD4_LRP5"
"WNT","WNT9B","FZD5_LRP5"
"WNT","WNT9B","FZD6_LRP5"
"WNT","WNT9B","FZD7_LRP5"
"WNT","WNT9B","FZD8_LRP5"
"WNT","WNT9B","FZD9_LRP5"
"WNT","WNT1","FZD1_LRP6"
"WNT","WNT1","FZD10_LRP6"
"WNT","WNT1","FZD2_LRP6"
"WNT","WNT1","FZD3_LRP6"
"WNT","WNT1","FZD4_LRP6"
"WNT","WNT1","FZD5_LRP6"
"WNT","WNT1","FZD6_LRP6"
"WNT","WNT1","FZD7_LRP6"
"WNT","WNT1","FZD8_LRP6"
"WNT","WNT1","FZD9_LRP6"
"WNT","WNT10A","FZD1_LRP6"
"WNT","WNT10A","FZD10_LRP6"
"WNT","WNT10A","FZD2_LRP6"
"WNT","WNT10A","FZD3_LRP6"
"WNT","WNT10A","FZD4_LRP6"
"WNT","WNT10A","FZD5_LRP6"
"WNT","WNT10A","FZD6_LRP6"
"WNT","WNT10A","FZD7_LRP6"
"WNT","WNT10A","FZD8_LRP6"
"WNT","WNT10A","FZD9_LRP6"
"WNT","WNT10B","FZD1_LRP6"
"WNT","WNT10B","FZD10_LRP6"
"WNT","WNT10B","FZD2_LRP6"
"WNT","WNT10B","FZD3_LRP6"
"WNT","WNT10B","FZD4_LRP6"
"WNT","WNT10B","FZD5_LRP6"
"WNT","WNT10B","FZD6_LRP6"
"WNT","WNT10B","FZD7_LRP6"
"WNT","WNT10B","FZD8_LRP6"
"WNT","WNT10B","FZD9_LRP6"
"WNT","WNT16","FZD1_LRP6"
"WNT","WNT16","FZD10_LRP6"
"WNT","WNT16","FZD2_LRP6"
"WNT","WNT16","FZD3_LRP6"
"WNT","WNT16","FZD4_LRP6"
"WNT","WNT16","FZD5_LRP6"
"WNT","WNT16","FZD6_LRP6"
"WNT","WNT16","FZD7_LRP6"
"WNT","WNT16","FZD8_LRP6"
"WNT","WNT16","FZD9_LRP6"
"WNT","WNT2","FZD1_LRP6"
"WNT","WNT2","FZD10_LRP6"
"WNT","WNT2","FZD2_LRP6"
"WNT","WNT2","FZD3_LRP6"
"WNT","WNT2","FZD4_LRP6"
"WNT","WNT2","FZD5_LRP6"
"WNT","WNT2","FZD6_LRP6"
"WNT","WNT2","FZD7_LRP6"
"WNT","WNT2","FZD8_LRP6"
"WNT","WNT2","FZD9_LRP6"
"WNT","WNT2B","FZD1_LRP6"
"WNT","WNT2B","FZD10_LRP6"
"WNT","WNT2B","FZD2_LRP6"
"WNT","WNT2B","FZD3_LRP6"
"WNT","WNT2B","FZD4_LRP6"
"WNT","WNT2B","FZD5_LRP6"
"WNT","WNT2B","FZD6_LRP6"
"WNT","WNT2B","FZD7_LRP6"
"WNT","WNT2B","FZD8_LRP6"
"WNT","WNT2B","FZD9_LRP6"
"WNT","WNT3","FZD1_LRP6"
"WNT","WNT3","FZD10_LRP6"
"WNT","WNT3","FZD2_LRP6"
"WNT","WNT3","FZD3_LRP6"
"WNT","WNT3","FZD4_LRP6"
"WNT","WNT3","FZD5_LRP6"
"WNT","WNT3","FZD6_LRP6"
"WNT","WNT3","FZD7_LRP6"
"WNT","WNT3","FZD8_LRP6"
"WNT","WNT3","FZD9_LRP6"
"WNT","WNT3A","FZD1_LRP6"
"WNT","WNT3A","FZD10_LRP6"
"WNT","WNT3A","FZD2_LRP6"
"WNT","WNT3A","FZD3_LRP6"
"WNT","WNT3A","FZD4_LRP6"
"WNT","WNT3A","FZD5_LRP6"
"WNT","WNT3A","FZD6_LRP6"
"WNT","WNT3A","FZD7_LRP6"
"WNT","WNT3A","FZD8_LRP6"
"WNT","WNT3A","FZD9_LRP6"
"WNT","WNT4","FZD1_LRP6"
"WNT","WNT4","FZD10_LRP6"
"WNT","WNT4","FZD2_LRP6"
"WNT","WNT4","FZD3_LRP6"
"WNT","WNT4","FZD4_LRP6"
"WNT","WNT4","FZD5_LRP6"
"WNT","WNT4","FZD6_LRP6"
"WNT","WNT4","FZD7_LRP6"
"WNT","WNT4","FZD8_LRP6"
"WNT","WNT4","FZD9_LRP6"
"WNT","WNT6","FZD1_LRP6"
"WNT","WNT6","FZD10_LRP6"
"WNT","WNT6","FZD2_LRP6"
"WNT","WNT6","FZD3_LRP6"
"WNT","WNT6","FZD4_LRP6"
"WNT","WNT6","FZD5_LRP6"
"WNT","WNT6","FZD6_LRP6"
"WNT","WNT6","FZD7_LRP6"
"WNT","WNT6","FZD8_LRP6"
"WNT","WNT6","FZD9_LRP6"
"WNT","WNT7A","FZD1_LRP6"
"WNT","WNT7A","FZD10_LRP6"
"WNT","WNT7A","FZD2_LRP6"
"WNT","WNT7A","FZD3_LRP6"
"WNT","WNT7A","FZD4_LRP6"
"WNT","WNT7A","FZD5_LRP6"
"WNT","WNT7A","FZD6_LRP6"
"WNT","WNT7A","FZD7_LRP6"
"WNT","WNT7A","FZD8_LRP6"
"WNT","WNT7A","FZD9_LRP6"
"WNT","WNT7B","FZD1_LRP6"
"WNT","WNT7B","FZD10_LRP6"
"WNT","WNT7B","FZD2_LRP6"
"WNT","WNT7B","FZD3_LRP6"
"WNT","WNT7B","FZD4_LRP6"
"WNT","WNT7B","FZD5_LRP6"
"WNT","WNT7B","FZD6_LRP6"
"WNT","WNT7B","FZD7_LRP6"
"WNT","WNT7B","FZD8_LRP6"
"WNT","WNT7B","FZD9_LRP6"
"WNT","WNT8A","FZD1_LRP6"
"WNT","WNT8A","FZD10_LRP6"
"WNT","WNT8A","FZD2_LRP6"
"WNT","WNT8A","FZD3_LRP6"
"WNT","WNT8A","FZD4_LRP6"
"WNT","WNT8A","FZD5_LRP6"
"WNT","WNT8A","FZD6_LRP6"
"WNT","WNT8A","FZD7_LRP6"
"WNT","WNT8A","FZD8_LRP6"
"WNT","WNT8A","FZD9_LRP6"
"WNT","WNT8B","FZD1_LRP6"
"WNT","WNT8B","FZD10_LRP6"
"WNT","WNT8B","FZD2_LRP6"
"WNT","WNT8B","FZD3_LRP6"
"WNT","WNT8B","FZD4_LRP6"
"WNT","WNT8B","FZD5_LRP6"
"WNT","WNT8B","FZD6_LRP6"
"WNT","WNT8B","FZD7_LRP6"
"WNT","WNT8B","FZD8_LRP6"
"WNT","WNT8B","FZD9_LRP6"
"WNT","WNT9A","FZD1_LRP6"
"WNT","WNT9A","FZD10_LRP6"
"WNT","WNT9A","FZD2_LRP6"
"WNT","WNT9A","FZD3_LRP6"
"WNT","WNT9A","FZD4_LRP6"
"WNT","WNT9A","FZD5_LRP6"
"WNT","WNT9A","FZD6_LRP6"
"WNT","WNT9A","FZD7_LRP6"
"WNT","WNT9A","FZD8_LRP6"
"WNT","WNT9A","FZD9_LRP6"
"WNT","WNT9B","FZD1_LRP6"
"WNT","WNT9B","FZD10_LRP6"
"WNT","WNT9B","FZD2_LRP6"
"WNT","WNT9B","FZD3_LRP6"
"WNT","WNT9B","FZD4_LRP6"
"WNT","WNT9B","FZD5_LRP6"
"WNT","WNT9B","FZD6_LRP6"
"WNT","WNT9B","FZD7_LRP6"
"WNT","WNT9B","FZD8_LRP6"
"WNT","WNT9B","FZD9_LRP6"
"ncWNT","WNT5A","FZD1"
"ncWNT","WNT5A","FZD10"
"ncWNT","WNT5A","FZD2"
"ncWNT","WNT5A","FZD3"
"ncWNT","WNT5A","FZD4"
"ncWNT","WNT5A","FZD5"
"ncWNT","WNT5A","FZD6"
"ncWNT","WNT5A","FZD7"
"ncWNT","WNT5A","FZD8"
"ncWNT","WNT5A","FZD9"
"ncWNT","WNT5A","MCAM"
"ncWNT","WNT5B","FZD1"
"ncWNT","WNT5B","FZD10"
"ncWNT","WNT5B","FZD2"
"ncWNT","WNT5B","FZD3"
"ncWNT","WNT5B","FZD4"
"ncWNT","WNT5B","FZD5"
"ncWNT","WNT5B","FZD6"
"ncWNT","WNT5B","FZD7"
"ncWNT","WNT5B","FZD8"
"ncWNT","WNT5B","FZD9"
"ncWNT","WNT11","FZD1"
"ncWNT","WNT11","FZD10"
"ncWNT","WNT11","FZD2"
"ncWNT","WNT11","FZD3"
"ncWNT","WNT11","FZD4"
"ncWNT","WNT11","FZD5"
"ncWNT","WNT11","FZD6"
"ncWNT","WNT11","FZD7"
"ncWNT","WNT11","FZD8"
"ncWNT","WNT11","FZD9"
"EGF","EGF","EGFR"
"EGF","EGF","EGFR_ERBB2"
"EGF","TGFA","EGFR"
"EGF","TGFA","EGFR_ERBB2"
"EGF","AREG","EGFR"
"EGF","AREG","EGFR_ERBB2"
"EGF","BTC","EGFR"
"EGF","BTC","EGFR_ERBB2"
"EGF","BTC","ERBB4"
"EGF","BTC","ERBB2_ERBB4"
"EGF","HBEGF","EGFR"
"EGF","HBEGF","EGFR_ERBB2"
"EGF","HBEGF","ERBB4"
"EGF","HBEGF","ERBB2_ERBB4"
"EGF","EREG","EGFR"
"EGF","EREG","EGFR_ERBB2"
"EGF","EREG","ERBB4"
"EGF","EREG","ERBB2_ERBB4"
"NRG","NRG1","ERBB3"
"NRG","NRG1","ERBB2_ERBB3"
"NRG","NRG1","ERBB4"
"NRG","NRG1","ERBB2_ERBB4"
"NRG","NRG2","ERBB3"
"NRG","NRG2","ERBB2_ERBB3"
"NRG","NRG2","ERBB4"
"NRG","NRG2","ERBB2_ERBB4"
"NRG","NRG3","ERBB4"
"NRG","NRG3","ERBB2_ERBB4"
"NRG","NRG4","ERBB4"
"NRG","NRG4","ERBB2_ERBB4"
"NRG","NRG1","ITGAV_ITGB3"
"FGF","FGF1","FGFR1"
"FGF","FGF1","FGFR2"
"FGF","FGF1","FGFR3"
"FGF","FGF1","FGFR4"
"FGF","FGF2","FGFR1"
"FGF","FGF2","FGFR2"
"FGF","FGF2","FGFR3"
"FGF","FGF2","FGFR4"
"FGF","FGF4","FGFR1"
"FGF","FGF4","FGFR2"
"FGF","FGF4","FGFR3"
"FGF","FGF4","FGFR4"
"FGF","FGF5","FGFR1"
"FGF","FGF5","FGFR2"
"FGF","FGF5","FGFR3"
"FGF","FGF5","FGFR4"
"FGF","FGF6","FGFR1"
"FGF","FGF6","FGFR2"
"FGF","FGF6","FGFR3"
"FGF","FGF6","FGFR4"
"FGF","FGF7","FGFR1"
"FGF","FGF7","FGFR2"
"FGF","FGF3","FGFR1"
"FGF","FGF3","FGFR2"
"FGF","FGF10","FGFR1"
"FGF","FGF10","FGFR2"
"FGF","FGF22","FGFR2"
"FGF","FGF8","FGFR1"
"FGF","FGF8","FGFR2"
"FGF","FGF8","FGFR3"
"FGF","FGF8","FGFR4"
"FGF","FGF17","FGFR1"
"FGF","FGF17","FGFR2"
"FGF","FGF17","FGFR3"
"FGF","FGF17","FGFR4"
"FGF","FGF18","FGFR1"
"FGF","FGF18","FGFR2"
"FGF","FGF18","FGFR3"
"FGF","FGF18","FGFR4"
"FGF","FGF9","FGFR1"
"FGF","FGF9","FGFR2"
"FGF","FGF9","FGFR3"
"FGF","FGF9","FGFR4"
"FGF","FGF20","FGFR1"
"FGF","FGF20","FGFR2"
"FGF","FGF20","FGFR3"
"FGF","FGF20","FGFR4"
"FGF","FGF16","FGFR1"
"FGF","FGF16","FGFR2"
"FGF","FGF16","FGFR3"
"FGF","FGF16","FGFR4"
"FGF","FGF19","FGFR1"
"FGF","FGF19","FGFR2"
"FGF","FGF19","FGFR3"
"FGF","FGF19","FGFR4"
"FGF","FGF21","FGFR1"
"FGF","FGF21","FGFR3"
"FGF","FGF23","FGFR1"
"FGF","FGF23","FGFR3"
"FGF","FGF23","FGFR4"
"PDGF","PDGFA","PDGFRA"
"PDGF","PDGFA","PDGFRB"
"PDGF","PDGFB","PDGFRA"
"PDGF","PDGFB","PDGFRB"
"PDGF","PDGFC","PDGFRA"
"PDGF","PDGFD","PDGFRB"
"VEGF","VEGFA","FLT1"
"VEGF","VEGFA","KDR"
"VEGF","VEGFB","FLT1"
"VEGF","VEGFC","FLT4"
"VEGF","VEGFC","KDR"
"VEGF","VEGFD","FLT4"
"VEGF","VEGFD","KDR"
"VEGF","PGF","FLT1"
"VEGF","VEGFA","FLT1_KDR"
"VEGF","VEGFC","FLT4_KDR"
"VEGF","VEGFD","FLT4_KDR"
"IGF","IGF1","IGF1R"
"IGF","IGF2","IGF1R"
"IGF","IGF2","IGF2R"
"IGF","IGF1","ITGAV_ITGB3"
"IGF","IGF1","ITGA6_ITGB4"
"IGF","IGF2","ITGAV_ITGB3"
"IGF","IGF2","ITGA6_ITGB4"
"IGF","IGFL3","IGFLR1"
"INSULIN","INS","INSR"
"APELIN","APLN","APLNR"
"HH","DHH","PTCH1_SMO"
"HH","IHH","PTCH1_SMO"
"HH","SHH","PTCH1_SMO"
"HH","DHH","PTCH2_SMO"
"HH","IHH","PTCH2_SMO"
"HH","SHH","PTCH2_SMO"
"CCL","CCL5","CCR1"
"CCL","CCL3","CCR1"
"CCL","CCL3L1","CCR1"
"CCL","CCL3L3","CCR1"
"CCL","CCL8","CCR1"
"CCL","CCL7","CCR1"
"CCL","CCL13","CCR1"
"CCL","CCL14","CCR1"
"CCL","CCL15","CCR1"
"CCL","CCL16","CCR1"
"CCL","CCL23","CCR1"
"CCL","CCL8","CCR2"
"CCL","CCL7","CCR2"
"CCL","CCL2","CCR2"
"CCL","CCL27","CCR2"
"CCL","CCL5","CCR3"
"CCL","CCL7","CCR3"
"CCL","CCL11","CCR3"
"CCL","CCL24","CCR3"
"CCL","CCL26","CCR3"
"CCL","CCL28","CCR3"
"CCL","CCL27","CCR3"
"CCL","CCL17","CCR4"
"CCL","CCL22","CCR4"
"CCL","CCL5","CCR4"
"CCL","CCL4","CCR5"
"CCL","CCL5","CCR5"
"CCL","CCL3","CCR5"
"CCL","CCL20","CCR6"
"CCL","CCL19","CCR7"
"CCL","CCL21","CCR7"
"CCL","CCL19","ACKR4"
"CCL","CCL21","ACKR4"
"CCL","CCL1","CCR8"
"CCL","CCL25","CCR9"
"CCL","CCL25","ACKR4"
